fen                                                                   ,line                                                ,depth ,knodes    ,cp      ,mate
7r/1p3k2/p1bPR3/5p2/2B2P1p/8/PP4P1/3K4 b - -                          ,f7g7 e6e2 h8d8 e2d2 b7b5 c4e6 g7f6 e6b3 a6a5 a2a3   ,   39 ,   200973 ,58.0    ,
7r/1p3k2/p1bPR3/5p2/2B2P1p/8/PP4P1/3K4 b - -                          ,f7g7 e6e2 b7b5 c4b3 h8d8 e2d2 a6a5 a2a3 g7f6 d1e1   ,   32 ,    71927 ,62.0    ,
7r/1p3k2/p1bPR3/5p2/2B2P1p/8/PP4P1/3K4 b - -                          ,h8d8 d1e1 a6a5 a2a3 b7b5 c4a2 c6d7 e6e7 f7g6 e1f2   ,   32 ,    71927 ,151.0   ,
7r/1p3k2/p1bPR3/5p2/2B2P1p/8/PP4P1/3K4 b - -                          ,f7g7 e6e2 g7g6 d1c2 h8d8 e2d2 g6f6 a2a3 b7b5 c4a2   ,   31 ,    59730 ,64.0    ,
7r/1p3k2/p1bPR3/5p2/2B2P1p/8/PP4P1/3K4 b - -                          ,h8d8 d1e1 a6a5 a2a3 b7b5 c4b3 a5a4 b3a2 c6d7 e6h6   ,   31 ,    59730 ,134.0   ,
7r/1p3k2/p1bPR3/5p2/2B2P1p/8/PP4P1/3K4 b - -                          ,h8f8 d1e2 f8d8 e2f2 b7b5 c4b3 a6a5 a2a3 c6d7 e6h6   ,   31 ,    59730 ,152.0   ,
7r/1p3k2/p1bPR3/5p2/2B2P1p/8/PP4P1/3K4 b - -                          ,f7g7 e6e2 b7b5 c4b3 h8d8 e2d2 a6a5 a2a3 g7f6 b3a2   ,   28 ,   148627 ,81.0    ,
7r/1p3k2/p1bPR3/5p2/2B2P1p/8/PP4P1/3K4 b - -                          ,h8d8 d1e1 c6d7 e6e7 f7f6 e1f2 a6a5 a2a3 b7b5 c4a2   ,   28 ,   148627 ,155.0   ,
7r/1p3k2/p1bPR3/5p2/2B2P1p/8/PP4P1/3K4 b - -                          ,h8f8 d1e1 b7b5 c4b3 a6a5 a2a3 f8d8 e1f2 c6d7 e6e7   ,   28 ,   148627 ,175.0   ,
7r/1p3k2/p1bPR3/5p2/2B2P1p/8/PP4P1/3K4 b - -                          ,h8b8 d1e1 b7b5 c4b3 b8d8 d6d7 c6d7 e6a6 f7e7 a6h6   ,   28 ,   148627 ,222.0   ,
7r/1p3k2/p1bPR3/5p2/2B2P1p/8/PP4P1/3K4 b - -                          ,f7g7 e6e2 h8d8 e2d2 b7b5 c4b3 a6a5 a2a3 g7f6 d1e1   ,   26 ,   255389 ,83.0    ,
7r/1p3k2/p1bPR3/5p2/2B2P1p/8/PP4P1/3K4 b - -                          ,h8d8 d1e1 b7b5 c4b3 f7g7 e1f2 a6a5 a2a3 c6d7 e6e7   ,   26 ,   255389 ,160.0   ,
7r/1p3k2/p1bPR3/5p2/2B2P1p/8/PP4P1/3K4 b - -                          ,h8f8 d1e1 a6a5 a2a3 f8d8 e1f2 b7b5 c4b3 c6d7 e6h6   ,   26 ,   255389 ,195.0   ,
7r/1p3k2/p1bPR3/5p2/2B2P1p/8/PP4P1/3K4 b - -                          ,h8a8 d1e1 b7b5 c4b3 a8d8 d6d7 c6d7 e6a6 f7e7 a6h6   ,   26 ,   255389 ,229.0   ,
7r/1p3k2/p1bPR3/5p2/2B2P1p/8/PP4P1/3K4 b - -                          ,h8b8 d1e1 b7b5 c4b3 b8f8 d6d7 c6d7 e6a6 f7e7 a6h6   ,   26 ,   255389 ,232.0   ,
8/4r3/2R2pk1/6pp/3P4/6P1/5K1P/8 b - -                                 ,e7a7 f2e3 a7a3 e3e4 a3a2 h2h4 g5h4 g3h4 a2h2 c6c1   ,   58 ,   491568 ,0.0     ,
8/4r3/2R2pk1/6pp/3P4/6P1/5K1P/8 b - -                                 ,e7b7 f2e3 b7b3 e3e4 b3b2 h2h4 g5h4 g3h4 b2h2 c6c1   ,   58 ,   491568 ,0.0     ,
8/4r3/2R2pk1/6pp/3P4/6P1/5K1P/8 b - -                                 ,e7e4 h2h4 g5h4 g3h4 e4d4 f2g3 d4g4 g3h3 g4a4 c6c8   ,   57 ,  1176702 ,0.0     ,
8/4r3/2R2pk1/6pp/3P4/6P1/5K1P/8 b - -                                 ,g6f5 c6c5 f5e4 h2h4 e4d4 c5f5 e7e5 f5f6 g5g4 f6d6   ,   57 ,  1176702 ,0.0     ,
8/4r3/2R2pk1/6pp/3P4/6P1/5K1P/8 b - -                                 ,e7a7 f2e3 a7a1 c6c2 g6f5 e3d3 a1d1 d3e3 d1e1 e3d3   ,   57 ,  1176702 ,0.0     ,
8/4r3/2R2pk1/6pp/3P4/6P1/5K1P/8 b - -                                 ,e7b7 f2e3 b7b1 c6c2 g6f5 c2f2 f5e6 e3d3 b1a1 d3c4   ,   57 ,  1176702 ,0.0     ,
8/4r3/2R2pk1/6pp/3P4/6P1/5K1P/8 b - -                                 ,e7d7 f2e3 d7e7 e3d3 e7e1 c6c2 e1d1 c2d2 d1d2 d3d2   ,   57 ,  1176702 ,0.0     ,
6k1/6p1/8/4K3/4NN2/8/8/8 w - -                                        ,e4d6 g8h7 e5f5 g7g5 f4h5 h7h6 h5g3 h6g7 f5e6 g7f8   ,   87 ,  4300494 ,        ,18.0
6k1/6p1/8/4K3/4NN2/8/8/8 w - -                                        ,e4g5 g8f8 f4g6 f8e8 e5d6 e8d8 g6e7 g7g6 e7c6 d8c8   ,   59 ,   265367 ,        ,20.0
6k1/6p1/8/4K3/4NN2/8/8/8 w - -                                        ,f4g6 g8f7 e5f5 f7e8 f5e6 e8d8 e6d6 d8c8 d6c6 c8d8   ,   59 ,   265367 ,        ,24.0
6k1/6p1/8/4K3/4NN2/8/8/8 w - -                                        ,e5e6 g7g5 f4h5 g8f8 e4d6 g5g4 h5g3 f8g8 e6f5 g8g7   ,   50 ,    92299 ,        ,16.0
6k1/6p1/8/4K3/4NN2/8/8/8 w - -                                        ,e4d6 g8h7 e5e6 g7g5 f4h5 h7h6 h5g3 h6g7 e6e7 g7g6   ,   50 ,    92299 ,        ,18.0
6k1/6p1/8/4K3/4NN2/8/8/8 w - -                                        ,e4g5 g8f8 f4g6 f8e8 e5d6 e8d8 g6e7 g7g6 e7c6 d8c8   ,   50 ,    92299 ,        ,20.0
6k1/6p1/8/4K3/4NN2/8/8/8 w - -                                        ,e5e6 g8f8 e4d6 f8g8 e6f5 g7g5 f4h5 g5g4 h5g3 g8g7   ,   41 ,    53922 ,        ,16.0
6k1/6p1/8/4K3/4NN2/8/8/8 w - -                                        ,e4d6 g8h7 e5f5 g7g5 f4h5 h7h6 h5g3 h6g7 f5e6 g7f8   ,   41 ,    53922 ,        ,18.0
6k1/6p1/8/4K3/4NN2/8/8/8 w - -                                        ,e4g5 g8f8 e5d6 f8e8 f4d5 e8d8 d5e7 g7g6 e7c6 d8c8   ,   41 ,    53922 ,        ,20.0
6k1/6p1/8/4K3/4NN2/8/8/8 w - -                                        ,f4g6 g8f7 e5f5 f7e8 f5e6 e8d8 e6d6 d8c8 d6c6 c8d8   ,   41 ,    53922 ,        ,24.0
6k1/6p1/8/4K3/4NN2/8/8/8 w - -                                        ,f4d5 g8f7 e4g5 f7g6 e5f4 g6h6 f4f5 h6h5 d5f4 h5h4   ,   41 ,    53922 ,        ,38.0
r1b2rk1/1p2bppp/p1nppn2/q7/2P1P3/N1N5/PP2BPPP/R1BQ1RK1 w - -          ,c1e3 f8d8 a1c1 d6d5 c4d5 e6d5 e4d5 e7a3 b2a3 f6d5   ,   25 ,    77779 ,24.0    ,
r1b2rk1/1p2bppp/p1nppn2/q7/2P1P3/N1N5/PP2BPPP/R1BQ1RK1 w - -          ,f1e1 c8d7 c1d2 a5c7 d2e3 c6e5 a1c1 c7b8 e2f1 f8c8   ,   25 ,    77779 ,23.0    ,
r1b2rk1/1p2bppp/p1nppn2/q7/2P1P3/N1N5/PP2BPPP/R1BQ1RK1 w - -          ,h2h3 f8d8 c1e3 d6d5 e4d5 e6d5 c3d5 f6d5 c4d5 d8d5   ,   25 ,    77779 ,10.0    ,
r1b2rk1/1p2bppp/p1nppn2/q7/2P1P3/N1N5/PP2BPPP/R1BQ1RK1 w - -          ,f1e1 h7h6 c1d2 a5c7 a1c1 c6e5 f2f4 e5g6 d2e3 b7b6   ,   22 ,    38871 ,35.0    ,
r1b2rk1/1p2bppp/p1nppn2/q7/2P1P3/N1N5/PP2BPPP/R1BQ1RK1 w - -          ,c1e3 f8d8 d1b3 f6d7 b3c2 e7f6 a1d1 f6c3 c2c3 a5c3   ,   22 ,    38871 ,28.0    ,
r1b2rk1/1p2bppp/p1nppn2/q7/2P1P3/N1N5/PP2BPPP/R1BQ1RK1 w - -          ,h2h3 f8d8 c1e3 h7h6 a1c1 d6d5 e4d5 e6d5 c3d5 e7a3   ,   22 ,    38871 ,23.0    ,
r1b2rk1/1p2bppp/p1nppn2/q7/2P1P3/N1N5/PP2BPPP/R1BQ1RK1 w - -          ,d1e1 f8d8 c1e3 d6d5 c4d5 e6d5 e4d5 e7a3 b2a3 f6d5   ,   22 ,    38871 ,15.0    ,
r1b2rk1/1p2bppp/p1nppn2/q7/2P1P3/N1N5/PP2BPPP/R1BQ1RK1 w - -          ,f1e1 c8d7 c1d2 a5c7 a1c1 a8c8 a3c2 c7b8 b2b3 e7d8   ,   21 ,    25424 ,28.0    ,
r1b2rk1/1p2bppp/p1nppn2/q7/2P1P3/N1N5/PP2BPPP/R1BQ1RK1 w - -          ,c1e3 f8d8 d1b3 f6d7 b3c2 a8b8 a3b1 e7g5 f2f4 g5f6   ,   21 ,    25424 ,28.0    ,
r1b2rk1/1p2bppp/p1nppn2/q7/2P1P3/N1N5/PP2BPPP/R1BQ1RK1 w - -          ,a3c2 f8d8 a2a3 a5c7 c1f4 b7b6 c2e3 c8b7 f4g3 c6e5   ,   21 ,    25424 ,28.0    ,
r1b2rk1/1p2bppp/p1nppn2/q7/2P1P3/N1N5/PP2BPPP/R1BQ1RK1 w - -          ,d1d3 c8d7 c1e3 c6b4 d3d2 f8d8 e2f3 d7e8 f1d1 a8c8   ,   21 ,    25424 ,19.0    ,
r1b2rk1/1p2bppp/p1nppn2/q7/2P1P3/N1N5/PP2BPPP/R1BQ1RK1 w - -          ,d1d2 c8d7 f1d1 c6b4 b2b3 h7h6 e2f3 f8d8 c1b2 d7e8   ,   21 ,    25424 ,17.0    ,
6k1/4Rppp/8/8/8/8/5PPP/6K1 w - -                                      ,e7e8                                                ,   99 ,      154 ,        ,1.0
6k1/4Rppp/8/8/8/8/5PPP/6K1 w - -                                      ,e7e8                                                ,   41 ,   265478 ,        ,1.0
6k1/4Rppp/8/8/8/8/5PPP/6K1 w - -                                      ,g1f1 g7g6 f1e2 g8f8 e7a7 f8g7 e2f3 g6g5 f3e4 g7g6   ,   41 ,   265478 ,        ,43.0
6k1/4Rppp/8/8/8/8/5PPP/6K1 w - -                                      ,e7e8                                                ,   40 ,   310731 ,        ,1.0
6k1/4Rppp/8/8/8/8/5PPP/6K1 w - -                                      ,g1f1 g8f8 e7c7 g7g6 f1e2 f8g7 e2f3 g7f6 f3e4 f6e6   ,   40 ,   310731 ,        ,44.0
6k1/4Rppp/8/8/8/8/5PPP/6K1 w - -                                      ,e7c7 h7h6 g1f1 g7g6 f1e2 g8g7 e2e3 g7f6 e3e4 f6e6   ,   40 ,   310731 ,        ,48.0
6k1/4Rppp/8/8/8/8/5PPP/6K1 w - -                                      ,e7e8                                                ,   25 ,    86239 ,        ,1.0
6k1/4Rppp/8/8/8/8/5PPP/6K1 w - -                                      ,g1f1 g7g5 e7c7 g8g7 f1e2 g7g6 e2e3 f7f5 c7c6 g6f7   ,   25 ,    86239 ,844.0   ,
6k1/4Rppp/8/8/8/8/5PPP/6K1 w - -                                      ,e7c7 g7g5 g1f1 h7h6 f1e2 f7f5 e2e3 g8f8 h2h3 f8e8   ,   25 ,    86239 ,838.0   ,
6k1/4Rppp/8/8/8/8/5PPP/6K1 w - -                                      ,h2h3 g7g5 g1f1 g8g7 f1e2 g7f6 e7e8 f6f5 e2f3 h7h5   ,   25 ,    86239 ,801.0   ,
6k1/4Rppp/8/8/8/8/5PPP/6K1 w - -                                      ,f2f3 g7g6 e7e8 g8g7 g1f2 g7f6 f2e3 f6f5 e8a8 f5e5   ,   25 ,    86239 ,796.0   ,
6k1/6p1/6N1/4K3/4N3/8/8/8 b - -                                       ,g8h7 e5f5 h7h6 e4g3 h6h7 f5g5 h7g8 g3e4 g8f7 g5f5   ,   62 ,    64636 ,        ,27.0
6k1/6p1/6N1/4K3/4N3/8/8/8 b - -                                       ,g8h7 e5f5 h7h6 e4g3 h6h7 f5g5 h7g8 g3e4 g8f7 g5f5   ,   41 ,      748 ,        ,27.0
6k1/6p1/6N1/4K3/4N3/8/8/8 b - -                                       ,g8f7 e5f5 f7e8 f5e6 e8d8 e6d6 d8c8 e4c5 c8d8 c5e6   ,   41 ,      748 ,        ,23.0
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq -                  ,d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 f8e7 c1f4 e8g8   ,   64 ,172990722 ,19.0    ,
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq -                  ,e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 f6e4 f1e1 e4d6   ,   64 ,172990722 ,18.0    ,
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq -                  ,c2c4 g8f6 g1f3 e7e6 d2d4 d7d5 b1c3 f8e7 c1f4 e8g8   ,   64 ,172990722 ,18.0    ,
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq -                  ,c2c4 e7e5 g2g3 c7c6 g1f3 e5e4 f3d4 d7d5 c4d5 d8d5   ,   61 , 99296225 ,19.0    ,
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq -                  ,g1f3 d7d5 d2d4 e7e6 g2g3 c7c5 f1g2 c5d4 f3d4 g8f6   ,   61 , 99296225 ,17.0    ,
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq -                  ,e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1h1 f6e4 f1e1 e4d6   ,   61 , 99296225 ,14.0    ,
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq -                  ,d2d4 g8f6 g1f3 e7e6 c2c4 d7d5 b1c3 f8b4 c1g5 h7h6   ,   61 , 99296225 ,14.0    ,
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq -                  ,g2g3 c7c5 f1g2 b8c6 c2c4 g7g6 b1c3 f8g7 a1b1 e7e6   ,   61 , 99296225 ,12.0    ,
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq -                  ,g1f3 g8f6 d2d4 d7d5 c2c4 c7c6 b1c3 e7e6 c1g5 f8e7   ,   32 ,   868552 ,36.0    ,
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq -                  ,d2d4 g8f6 c2c4 e7e6 g2g3 f8b4 c1d2 b4e7 f1g2 d7d5   ,   32 ,   868552 ,29.0    ,
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq -                  ,c2c4 e7e5 g2g3 g8f6 f1g2 d7d5 c4d5 f6d5 b1c3 d5b6   ,   32 ,   868552 ,24.0    ,
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq -                  ,g2g3 d7d5 g1f3 g8f6 f1g2 c7c5 e1h1 e7e6 c2c4 d5d4   ,   32 ,   868552 ,21.0    ,
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq -                  ,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 e1h1 g8f6 d2d3 d7d6   ,   32 ,   868552 ,18.0    ,
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq -                  ,e2e3 d7d5 d2d4 g8f6 g1f3 e7e6 b2b3 c7c5 c1b2 b8c6   ,   32 ,   868552 ,12.0    ,
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq -                  ,c2c3 d7d5 d2d4 g8f6 g1f3 c7c5 c1f4 d8b6 d1c2 b8c6   ,   32 ,   868552 ,3.0     ,
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq -                  ,b1c3 d7d5 d2d4 g8f6 c1f4 g7g6 e2e3 f8g7 c3b5 b8a6   ,   32 ,   868552 ,0.0     ,
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq -                  ,b2b3 e7e5 c1b2 b8c6 e2e3 g8f6 g1f3 e5e4 f3d4 f8c5   ,   32 ,   868552 ,-2.0    ,
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq -                  ,a2a3 c7c5 c2c3 e7e6 d2d4 d7d5 c1f4 f8d6 f4g3 g8f6   ,   32 ,   868552 ,-4.0    ,
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq -                  ,h2h3 e7e5 e2e4 g8f6 b1c3 d7d5 e4d5 f6d5 f1c4 c8e6   ,   32 ,   868552 ,-6.0    ,
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq -                  ,d2d3 d7d5 g1f3 g8f6 g2g3 c7c5 c2c4 d5c4 d1a4 c8d7   ,   32 ,   868552 ,-10.0   ,
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq -                  ,a2a4 g8f6 d2d4 e7e6 e2e3 c7c5 g1f3 b8c6 f1d3 b7b6   ,   32 ,   868552 ,-19.0   ,
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq -                  ,b2b4 e7e5 c1b2 f8b4 b2e5 g8f6 c2c3 b4e7 e2e3 e8h8   ,   32 ,   868552 ,-20.0   ,
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq -                  ,f2f4 g8f6 g1f3 d7d5 e2e3 c7c5 f1b5 c8d7 d1e2 g7g6   ,   32 ,   868552 ,-25.0   ,
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq -                  ,h2h4 d7d5 d2d4 g8f6 c2c4 c7c5 e2e3 c5d4 e3d4 c8g4   ,   32 ,   868552 ,-31.0   ,
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq -                  ,g1h3 d7d5 d2d4 g8f6 h3g5 c7c5 e2e3 b8c6 g5f3 d8c7   ,   32 ,   868552 ,-46.0   ,
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq -                  ,b1a3 e7e5 a3c4 e5e4 d2d3 d7d5 c4e3 d5d4 e3c4 g8f6   ,   32 ,   868552 ,-52.0   ,
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq -                  ,f2f3 e7e5 e2e3 d7d5 d2d4 b8c6 b1c3 g8f6 f1b5 f8d6   ,   32 ,   868552 ,-55.0   ,
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq -                  ,g2g4 d7d5 g4g5 e7e5 f1g2 b8c6 d2d4 e5d4 g1f3 f8b4   ,   32 ,   868552 ,-97.0   ,
8/8/2N2k2/8/1p2p3/p7/K7/8 b - -                                       ,b4b3 a2a3 f6e6 a3b3 e6d5 b3c3 d5c6 c3d4 e4e3 d4e3   ,   54 ,    28336 ,0.0     ,
8/8/2N2k2/8/1p2p3/p7/K7/8 b - -                                       ,f6e6 c6b4 e6d7 b4c2 d7d8 a2a3 d8c7 a3b4 c7c6 b4c4   ,   46 ,   101108 ,0.0     ,
8/8/2N2k2/8/1p2p3/p7/K7/8 b - -                                       ,e4e3 c6b4 e3e2 b4c2 f6e5 a2a3 e5e4 a3b4 e4d5 b4c3   ,   46 ,   101108 ,0.0     ,
8/8/2N2k2/8/1p2p3/p7/K7/8 b - -                                       ,f6f5 c6b4 f5g4 b4c2 g4f3 a2a3 f3f4 a3b4 f4g5 b4c4   ,   46 ,   101108 ,0.0     ,
8/8/2N2k2/8/1p2p3/p7/K7/8 b - -                                       ,f6f5 c6b4 e4e3 b4c2 f5e4 a2a3 e4d3 c2e3 d3e3 a3b4   ,   38 ,     8770 ,0.0     ,
8/8/2N2k2/8/1p2p3/p7/K7/8 b - -                                       ,b4b3 a2b3 e4e3 c6d4 f6e5 d4c2 e5e4 b3a3 e4d3 c2e3   ,   38 ,     8770 ,0.0     ,
8/8/2N2k2/8/1p2p3/p7/K7/8 b - -                                       ,e4e3 c6b4 f6e5 a2a3 e5d4 b4c2 d4d3 c2e3 d3e3 a3b4   ,   38 ,     8770 ,0.0     ,
8/8/2N2k2/8/1p2p3/p7/K7/8 b - -                                       ,f6g5 c6b4 g5f4 b4c2 f4f3 a2a3 f3e2 c2b4 e2e1 b4d5   ,   38 ,     8770 ,0.0     ,
8/8/2N2k2/8/1p2p3/p7/K7/8 b - -                                       ,b4b3 a2b3 f6g5 c6d4 g5g4 b3a3 e4e3 a3b3 g4f4 d4c2   ,   22 ,     1488 ,-7.0    ,
8/8/2N2k2/8/1p2p3/p7/K7/8 b - -                                       ,e4e3 c6b4 e3e2 b4c2 f6e7 a2a3 e7f8 a3b4 f8g8 b4c3   ,   22 ,     1488 ,-6.0    ,
8/8/2N2k2/8/1p2p3/p7/K7/8 b - -                                       ,f6g7 c6b4 g7g6 a2a3 g6f6 b4c2 f6e5 a3b4 e5d5 b4c3   ,   22 ,     1488 ,-6.0    ,
8/8/2N2k2/8/1p2p3/p7/K7/8 b - -                                       ,f6f5 c6b4 f5e5 b4c2 e5d5 a2a3 d5c5 a3b3 c5b5 c2e3   ,   22 ,     1488 ,-6.0    ,
8/8/2N2k2/8/1p2p3/p7/K7/8 b - -                                       ,f6g5 c6b4 g5h5 a2a3 h5g6 b4d5 g6h6 a3b4 h6h5 b4b3   ,   22 ,     1488 ,-3.0    ,
8/1r6/2R2pk1/6pp/3P4/6P1/5K1P/8 w - -                                 ,c6c2 g6f5 h2h4 g5g4 c2c5 f5e4 c5h5 b7b2 f2g1 f6f5   ,   46 ,    18678 ,0.0     ,
8/1r6/2R2pk1/6pp/3P4/6P1/5K1P/8 w - -                                 ,c6c2 g6f5 h2h4 g5h4 g3h4 b7d7 f2e3 f5g4 c2d2 d7e7   ,   30 ,    40650 ,0.0     ,
8/1r6/2R2pk1/6pp/3P4/6P1/5K1P/8 w - -                                 ,d4d5 b7b5 d5d6 b5d5 f2e3 g6f5 h2h3 f5e5 c6c8 d5d6   ,   30 ,    40650 ,-4.0    ,
8/1r6/2R2pk1/6pp/3P4/6P1/5K1P/8 w - -                                 ,f2e3 b7b3 e3e4 b3b2 h2h4 g5h4 g3h4 b2h2 d4d5 h2h4   ,   30 ,    40650 ,-9.0    ,
1R4k1/3q1pp1/6n1/b2p2Pp/2pP2b1/p1P5/P1BQrPPB/5NK1 b - -               ,g8h7 d2c1 a5c7 h2c7 d7c7 b8a8 c7e7 f2f3 g4d7 a8a5   ,   43 ,  1100106 ,-57.0   ,
1R4k1/3q1pp1/6n1/b2p2Pp/2pP2b1/p1P5/P1BQrPPB/5NK1 b - -               ,g6f8 d2c1 d7e7 h2e5 a5c3 c1f4 c3b4 f1e3 b4d2 c2b1   ,   43 ,  1100106 ,-42.0   ,
1R4k1/3q1pp1/6n1/b2p2Pp/2pP2b1/p1P5/P1BQrPPB/5NK1 b - -               ,a5d8 d2d1 e2f2 d1b1 f2e2 c2g6 f7g6 b1g6 e2e6 g6b1   ,   43 ,  1100106 ,0.0     ,
1R4k1/3q1pp1/6n1/b2p2Pp/2pP2b1/p1P5/P1BQrPPB/5NK1 b - -               ,g8h7 d2c1 a5c7 h2c7 d7c7 b8a8 c7e7 f2f3 g4d7 f3f4   ,   27 ,   230831 ,-93.0   ,
1R4k1/3q1pp1/6n1/b2p2Pp/2pP2b1/p1P5/P1BQrPPB/5NK1 b - -               ,g6f8 d2c1 d7e7 h2e5 a5c3 c1f4 e2c2 e5d6 c2f2 g1f2   ,   27 ,   230831 ,-34.0   ,
1R4k1/3q1pp1/6n1/b2p2Pp/2pP2b1/p1P5/P1BQrPPB/5NK1 b - -               ,a5d8 d2d1 e2f2 d1b1 f2c2 b1c2 g8h7 h2f4 g4e2 b8a8   ,   27 ,   230831 ,0.0     ,
1R4k1/3q1pp1/6n1/b2p2Pp/2pP2b1/p1P5/P1BQrPPB/5NK1 b - -               ,e2e8 b8e8 d7e8 h2d6 e8d7 d6a3 a5c7 c2g6 f7g6 a3b4   ,   27 ,   230831 ,7.0     ,
1R4k1/3q1pp1/6n1/b2p2Pp/2pP2b1/p1P5/P1BQrPPB/5NK1 b - -               ,d7d8 b8d8 a5d8 d2d1 e2f2 g1f2 g4d1 c2d1 d8a5 f1e3   ,   27 ,   230831 ,468.0   ,
8/5kp1/6N1/4K3/4N3/8/8/8 w - -                                        ,e5f5 f7e8 f5e6 e8d8 e6d6 d8c8 e4c5 c8d8 c5e6 d8e8   ,   61 ,    62102 ,        ,23.0
1k1r1r2/pbp3pp/1p1q1p2/2p2Q2/4P3/1P1PB3/P1P3PP/4RRK1 w - -            ,a2a4 g7g6 f5f2 f6f5 e3h6 f8g8 h6g5 d8e8 e4e5 d6d5   ,   31 ,    42970 ,8.0     ,
1k1r1r2/pbp3pp/1p1q1p2/2p2Q2/4P3/1P1PB3/P1P3PP/4RRK1 w - -            ,e3f4 d6d4 f1f2 h7h6 f5g4 f8f7 g4e6 d8f8 h2h3 b7c8   ,   27 ,    76822 ,2.0     ,
1k1r1r2/pbp3pp/1p1q1p2/2p2Q2/4P3/1P1PB3/P1P3PP/4RRK1 w - -            ,f5f4 d6c6 f4h4 h7h6 h2h3 f8f7 e3d2 a7a5 a2a4 d8e8   ,   27 ,    76822 ,0.0     ,
1k1r1r2/pbp3pp/1p1q1p2/2p2Q2/4P3/1P1PB3/P1P3PP/4RRK1 w - -            ,e1e2 d8e8 f5f4 d6d8 f4h4 f8h8 e3c1 d8d4 h4f2 d4c3   ,   27 ,    76822 ,0.0     ,
1k1r1r2/pbp3pp/1p1q1p2/2p2Q2/4P3/1P1PB3/P1P3PP/4RRK1 w - -            ,e3d2 g7g6 f5f4 d6d4 f4f2 d4e5 h2h3 d8e8 d2f4 e5e6   ,   27 ,    76822 ,0.0     ,
1k1r1r2/pbp3pp/1p1q1p2/2p2Q2/4P3/1P1PB3/P1P3PP/4RRK1 w - -            ,f1f2 h7h6 e3d2 f8e8 d2c3 a7a5 h2h3 e8e7 a2a4 d6c6   ,   27 ,    76822 ,0.0     ,
8/3B4/8/p4p1k/5P1p/Pb6/1P4P1/6K1 w - -                                ,d7f5 b3f7 g1h2 f7d5 f5d7 d5b3 h2h3 h5g6 d7g4 b3d5   ,   36 ,    57197 ,676.0   ,
8/3B4/8/p4p1k/5P1p/Pb6/1P4P1/6K1 w - -                                ,d7f5 a5a4 g1h2 b3d5 f5d7 h5g6 h2h3 g6f6 d7a4 f6f5   ,   32 ,    38826 ,652.0   ,
8/3B4/8/p4p1k/5P1p/Pb6/1P4P1/6K1 w - -                                ,g2g3 h4g3 d7f5 h5h4 f5c8 b3c4 b2b4 a5b4 a3b4 c4b5   ,   32 ,    38826 ,20.0    ,
